text,style,temperature
穿太多會熱瘋，走一個甜酷風,甜酷,熱
天氣好舒服，想低調一點,簡約,舒適
可以穿得自在一點，來點個性混可愛,甜酷,舒適
會中暑的那種熱，想低調一點,簡約,熱
今天適合隨便穿，日常好搭風,簡約,舒適
外面真的很冷耶，走一個甜酷風,甜酷,冷
這種天氣出門最適合，想看起來有點壞又可愛,甜酷,舒適
今天天氣爆炸熱，想有氣質又不失時尚,優雅,熱
會中暑的那種熱，想有氣質又不失時尚,優雅,熱
風超大，想低調有質感一點,文青,冷
剛剛好的溫度，想低調有質感一點,文青,舒適
風超大，想要帥氣又甜美一點,甜酷,冷
氣溫超低的，想低調有質感一點,文青,冷
今天冷死了，想文青但不太無聊,文青,冷
外面真的很冷耶，想低調有質感一點,文青,冷
今天適合隨便穿，想穿得有文藝氣息,文青,舒適
我超怕冷，走一個甜酷風,甜酷,冷
外面像烤箱一樣，想低調有質感一點,文青,熱
可以穿得自在一點，自然風文青感,文青,舒適
這種天氣不穿厚一點會冷死，想要帥氣又甜美一點,甜酷,冷
氣溫超低的，走一個甜酷風,甜酷,冷
想穿點輕鬆的，想文青但不太無聊,文青,舒適
今天適合隨便穿，走一個甜酷風,甜酷,舒適
今天穿短袖會冷爆，走一個甜美風,可愛,冷
我超怕冷，走優雅路線,優雅,冷
不冷也不熱的感覺最棒，走一個甜美風,可愛,舒適
會中暑的那種熱，想文青但不太無聊,文青,熱
氣溫超低的，穿簡單舒服就好,簡約,冷
這種天氣不穿厚一點會冷死，想穿得可愛一點,可愛,冷
外面像烤箱一樣，穿得有女人味一點,優雅,熱
想穿點輕鬆的，走一個甜酷風,甜酷,舒適
今天冷死了，走優雅路線,優雅,冷
今天冷死了，來點極簡風,簡約,冷
今天適合隨便穿，想低調有質感一點,文青,舒適
現在天氣很讚，來點極簡風,簡約,舒適
現在天氣很讚，想穿得可愛一點,可愛,舒適
剛剛好的溫度，來點極簡風,簡約,舒適
不冷也不熱的感覺最棒，想低調一點,簡約,舒適
氣溫超低的，想低調一點,簡約,冷
氣溫超低的，想有氣質又不失時尚,優雅,冷
超悶熱，優雅又不無聊,優雅,熱
天氣好舒服，想有氣質又不失時尚,優雅,舒適
真的熱到不想出門，日常好搭風,簡約,熱
感覺會感冒，想低調一點,簡約,冷
不冷也不熱的感覺最棒，想有氣質又不失時尚,優雅,舒適
我超怕冷，優雅又不無聊,優雅,冷
超悶熱，走甜甜又帥的風格,甜酷,熱
現在天氣很讚，穿得俏皮一點,可愛,舒適
真的熱到不想出門，想穿得有文藝氣息,文青,熱
不冷也不熱的感覺最棒，來點極簡風,簡約,舒適
氣溫超低的，想低調有質感一點,文青,冷
流汗流整天，自然風文青感,文青,熱
今天天氣爆炸熱，穿簡單舒服就好,簡約,熱
外面像烤箱一樣，想低調有質感一點,文青,熱
今天適合隨便穿，來點極簡風,簡約,舒適
太陽快把我融化，想有氣質又不失時尚,優雅,熱
真的熱到不想出門，想穿得可愛一點,可愛,熱
剛剛好的溫度，穿簡單舒服就好,簡約,舒適
剛剛好的溫度，想文青但不太無聊,文青,舒適
穿太多會熱瘋，來點極簡風,簡約,熱
不冷也不熱的感覺最棒，想文青但不太無聊,文青,舒適
這種天氣出門最適合，走一個甜酷風,甜酷,舒適
我超怕冷，走優雅路線,優雅,冷
會中暑的那種熱，走甜甜又帥的風格,甜酷,熱
會中暑的那種熱，想低調有質感一點,文青,熱
會中暑的那種熱，走一個文青路線,文青,熱
太陽快把我融化，想要帥氣又甜美一點,甜酷,熱
今天穿短袖會冷爆，想有氣質又不失時尚,優雅,冷
超悶熱，今天想當卡哇伊少女,可愛,熱
可以穿得自在一點，想文青但不太無聊,文青,舒適
外面像烤箱一樣，想低調有質感一點,文青,熱
流汗流整天，想穿得有文藝氣息,文青,熱
流汗流整天，想看起來有點壞又可愛,甜酷,熱
會中暑的那種熱，想有氣質又不失時尚,優雅,熱
這種天氣出門最適合，來點極簡風,簡約,舒適
太陽快把我融化，走優雅路線,優雅,熱
今天冷死了，走一個甜美風,可愛,冷
外面真的很冷耶，想要帥氣又甜美一點,甜酷,冷
現在天氣很讚，來點極簡風,簡約,舒適
想穿點輕鬆的，想要日系可愛感,可愛,舒適
超悶熱，想看起來有點壞又可愛,甜酷,熱
今天冷死了，想看起來有點壞又可愛,甜酷,冷
這種天氣不穿厚一點會冷死，優雅又不無聊,優雅,冷
想穿點輕鬆的，想要日系可愛感,可愛,舒適
風超大，來點極簡風,簡約,冷
感覺會感冒，走簡約風格,簡約,冷
超悶熱，來點成熟感,優雅,熱
風超大，來點極簡風,簡約,冷
這種天氣出門最適合，走一個甜酷風,甜酷,舒適
氣溫超低的，自然風文青感,文青,冷
天氣好舒服，走甜甜又帥的風格,甜酷,舒適
氣溫超低的，想穿得可愛一點,可愛,冷
不冷也不熱的感覺最棒，想文青但不太無聊,文青,舒適
我超怕冷，日常好搭風,簡約,冷
天氣好舒服，走一個文青路線,文青,舒適
不冷也不熱的感覺最棒，穿得俏皮一點,可愛,舒適
我超怕冷，想低調有質感一點,文青,冷
可以穿得自在一點，日常好搭風,簡約,舒適
天氣好舒服，走一個文青路線,文青,舒適
會中暑的那種熱，走一個文青路線,文青,熱
今天冷死了，走簡約風格,簡約,冷
感覺會感冒，走一個甜美風,可愛,冷
會中暑的那種熱，想有氣質又不失時尚,優雅,熱
剛剛好的溫度，走簡約風格,簡約,舒適
風超大，想要日系可愛感,可愛,冷
現在天氣很讚，想穿得有文藝氣息,文青,舒適
穿太多會熱瘋，想穿得有文藝氣息,文青,熱
流汗流整天，想文青但不太無聊,文青,熱
天氣好舒服，想要日系可愛感,可愛,舒適
想穿點輕鬆的，來點成熟感,優雅,舒適
這種天氣不穿厚一點會冷死，穿得俏皮一點,可愛,冷
會中暑的那種熱，優雅又不無聊,優雅,熱
不冷也不熱的感覺最棒，優雅又不無聊,優雅,舒適
剛剛好的溫度，想看起來有點壞又可愛,甜酷,舒適
今天穿短袖會冷爆，來點成熟感,優雅,冷
真的熱到不想出門，想要日系可愛感,可愛,熱
會中暑的那種熱，想要帥氣又甜美一點,甜酷,熱
超悶熱，想穿得有文藝氣息,文青,熱
剛剛好的溫度，想有氣質又不失時尚,優雅,舒適
這種天氣出門最適合，自然風文青感,文青,舒適
真的熱到不想出門，想低調一點,簡約,熱
這種天氣出門最適合，優雅又不無聊,優雅,舒適
現在天氣很讚，想低調有質感一點,文青,舒適
流汗流整天，走一個文青路線,文青,熱
感覺會感冒，走簡約風格,簡約,冷
太陽快把我融化，走一個甜美風,可愛,熱
外面像烤箱一樣，想看起來有點壞又可愛,甜酷,熱
感覺會感冒，日常好搭風,簡約,冷
外面像烤箱一樣，想要帥氣又甜美一點,甜酷,熱
想穿點輕鬆的，來點極簡風,簡約,舒適
我超怕冷，想低調一點,簡約,冷
不冷也不熱的感覺最棒，想要帥氣又甜美一點,甜酷,舒適
可以穿得自在一點，走一個甜酷風,甜酷,舒適
現在天氣很讚，想穿得有文藝氣息,文青,舒適
這種天氣出門最適合，想有氣質又不失時尚,優雅,舒適
太陽快把我融化，來點個性混可愛,甜酷,熱
想穿點輕鬆的，穿簡單舒服就好,簡約,舒適
想穿點輕鬆的，走甜甜又帥的風格,甜酷,舒適
穿太多會熱瘋，想文青但不太無聊,文青,熱
不冷也不熱的感覺最棒，想低調有質感一點,文青,舒適
真的熱到不想出門，穿簡單舒服就好,簡約,熱
氣溫超低的，穿簡單舒服就好,簡約,冷
穿太多會熱瘋，穿簡單舒服就好,簡約,熱
外面像烤箱一樣，今天想當卡哇伊少女,可愛,熱
會中暑的那種熱，想穿得可愛一點,可愛,熱
想穿點輕鬆的，想要日系可愛感,可愛,舒適
會中暑的那種熱，優雅又不無聊,優雅,熱
這種天氣出門最適合，想低調一點,簡約,舒適
今天冷死了，走優雅路線,優雅,冷
穿太多會熱瘋，穿得有女人味一點,優雅,熱
不冷也不熱的感覺最棒，來點極簡風,簡約,舒適
今天冷死了，自然風文青感,文青,冷
氣溫超低的，想穿得有文藝氣息,文青,冷
穿太多會熱瘋，想低調有質感一點,文青,熱
今天適合隨便穿，走優雅路線,優雅,舒適
今天穿短袖會冷爆，走一個甜美風,可愛,冷
穿太多會熱瘋，走一個甜美風,可愛,熱
超悶熱，來點成熟感,優雅,熱
現在天氣很讚，想要日系可愛感,可愛,舒適
我超怕冷，穿簡單舒服就好,簡約,冷
今天冷死了，想低調一點,簡約,冷
我超怕冷，來點成熟感,優雅,冷
真的熱到不想出門，來點極簡風,簡約,熱
會中暑的那種熱，今天想當卡哇伊少女,可愛,熱
會中暑的那種熱，想穿得有文藝氣息,文青,熱
外面真的很冷耶，想要日系可愛感,可愛,冷
超悶熱，來點極簡風,簡約,熱
天氣好舒服，來點成熟感,優雅,舒適
真的熱到不想出門，優雅又不無聊,優雅,熱
超悶熱，走簡約風格,簡約,熱
超悶熱，走一個甜酷風,甜酷,熱
天氣好舒服，穿得有女人味一點,優雅,舒適
風超大，穿得俏皮一點,可愛,冷
不冷也不熱的感覺最棒，穿簡單舒服就好,簡約,舒適
這種天氣不穿厚一點會冷死，今天想當卡哇伊少女,可愛,冷
今天冷死了，來點成熟感,優雅,冷
外面真的很冷耶，穿得有女人味一點,優雅,冷
今天適合隨便穿，來點極簡風,簡約,舒適
外面真的很冷耶，穿得俏皮一點,可愛,冷
這種天氣出門最適合，走優雅路線,優雅,舒適
可以穿得自在一點，穿簡單舒服就好,簡約,舒適
今天冷死了，走一個文青路線,文青,冷
這種天氣出門最適合，穿簡單舒服就好,簡約,舒適
今天適合隨便穿，穿得俏皮一點,可愛,舒適
外面像烤箱一樣，日常好搭風,簡約,熱
想穿點輕鬆的，想看起來有點壞又可愛,甜酷,舒適
這種天氣不穿厚一點會冷死，穿得有女人味一點,優雅,冷
現在天氣很讚，日常好搭風,簡約,舒適
我超怕冷，想低調一點,簡約,冷
今天穿短袖會冷爆，今天想當卡哇伊少女,可愛,冷
今天天氣爆炸熱，穿簡單舒服就好,簡約,熱
這種天氣不穿厚一點會冷死，想穿得有文藝氣息,文青,冷
剛剛好的溫度，走優雅路線,優雅,舒適
今天穿短袖會冷爆，想穿得可愛一點,可愛,冷
可以穿得自在一點，走優雅路線,優雅,舒適
今天天氣爆炸熱，走一個文青路線,文青,熱
超悶熱，優雅又不無聊,優雅,熱
感覺會感冒，自然風文青感,文青,冷
流汗流整天，走一個文青路線,文青,熱
這種天氣出門最適合，日常好搭風,簡約,舒適
我超怕冷，想低調有質感一點,文青,冷
想穿點輕鬆的，穿得俏皮一點,可愛,舒適
今天天氣爆炸熱，日常好搭風,簡約,熱
天氣好舒服，想低調一點,簡約,舒適
風超大，想低調一點,簡約,冷
不冷也不熱的感覺最棒，日常好搭風,簡約,舒適
我超怕冷，走優雅路線,優雅,冷
這種天氣不穿厚一點會冷死，來點極簡風,簡約,冷
現在天氣很讚，想穿得可愛一點,可愛,舒適
真的熱到不想出門，走一個文青路線,文青,熱
感覺會感冒，想要帥氣又甜美一點,甜酷,冷
外面像烤箱一樣，走簡約風格,簡約,熱
今天適合隨便穿，想穿得可愛一點,可愛,舒適
可以穿得自在一點，走一個甜美風,可愛,舒適
這種天氣出門最適合，走優雅路線,優雅,舒適
流汗流整天，想要日系可愛感,可愛,熱
穿太多會熱瘋，走一個甜美風,可愛,熱
今天適合隨便穿，穿得俏皮一點,可愛,舒適
會中暑的那種熱，想看起來有點壞又可愛,甜酷,熱
天氣好舒服，走一個甜酷風,甜酷,舒適
可以穿得自在一點，來點個性混可愛,甜酷,舒適
這種天氣不穿厚一點會冷死，想看起來有點壞又可愛,甜酷,冷
剛剛好的溫度，走優雅路線,優雅,舒適
剛剛好的溫度，今天想當卡哇伊少女,可愛,舒適
會中暑的那種熱，穿簡單舒服就好,簡約,熱
會中暑的那種熱，自然風文青感,文青,熱
今天天氣爆炸熱，穿得有女人味一點,優雅,熱
氣溫超低的，想穿得可愛一點,可愛,冷
真的熱到不想出門，走一個甜酷風,甜酷,熱
超悶熱，想低調一點,簡約,熱
不冷也不熱的感覺最棒，穿得俏皮一點,可愛,舒適
風超大，想要日系可愛感,可愛,冷
今天適合隨便穿，走優雅路線,優雅,舒適
超悶熱，穿得有女人味一點,優雅,熱
今天適合隨便穿，想要日系可愛感,可愛,舒適
感覺會感冒，穿簡單舒服就好,簡約,冷
穿太多會熱瘋，想要日系可愛感,可愛,熱
可以穿得自在一點，想低調有質感一點,文青,舒適
今天天氣爆炸熱，想看起來有點壞又可愛,甜酷,熱
這種天氣出門最適合，走一個甜酷風,甜酷,舒適
流汗流整天，想有氣質又不失時尚,優雅,熱
今天天氣爆炸熱，今天想當卡哇伊少女,可愛,熱
感覺會感冒，走簡約風格,簡約,冷
太陽快把我融化，想文青但不太無聊,文青,熱
現在天氣很讚，日常好搭風,簡約,舒適
今天適合隨便穿，來點成熟感,優雅,舒適
這種天氣不穿厚一點會冷死，走一個甜美風,可愛,冷
感覺會感冒，走一個甜美風,可愛,冷
這種天氣出門最適合，走甜甜又帥的風格,甜酷,舒適
會中暑的那種熱，穿簡單舒服就好,簡約,熱
可以穿得自在一點，走一個甜酷風,甜酷,舒適
感覺會感冒，來點個性混可愛,甜酷,冷
可以穿得自在一點，穿得有女人味一點,優雅,舒適
氣溫超低的，走一個文青路線,文青,冷
外面像烤箱一樣，穿得俏皮一點,可愛,熱
外面真的很冷耶，穿得有女人味一點,優雅,冷
想穿點輕鬆的，來點極簡風,簡約,舒適
現在天氣很讚，穿簡單舒服就好,簡約,舒適
不冷也不熱的感覺最棒，日常好搭風,簡約,舒適
穿太多會熱瘋，來點成熟感,優雅,熱
現在天氣很讚，走優雅路線,優雅,舒適
感覺會感冒，穿得有女人味一點,優雅,冷
天氣好舒服，穿簡單舒服就好,簡約,舒適
氣溫超低的，走甜甜又帥的風格,甜酷,冷
現在天氣很讚，想低調有質感一點,文青,舒適
超悶熱，穿得有女人味一點,優雅,熱
氣溫超低的，想文青但不太無聊,文青,冷
流汗流整天，來點成熟感,優雅,熱
穿太多會熱瘋，穿得有女人味一點,優雅,熱
真的熱到不想出門，日常好搭風,簡約,熱
今天天氣爆炸熱，走一個文青路線,文青,熱
氣溫超低的，穿得俏皮一點,可愛,冷
太陽快把我融化，走一個甜美風,可愛,熱
不冷也不熱的感覺最棒，來點極簡風,簡約,舒適
今天適合隨便穿，穿簡單舒服就好,簡約,舒適
可以穿得自在一點，走一個甜美風,可愛,舒適
今天穿短袖會冷爆，走甜甜又帥的風格,甜酷,冷
想穿點輕鬆的，想文青但不太無聊,文青,舒適
想穿點輕鬆的，穿得俏皮一點,可愛,舒適
不冷也不熱的感覺最棒，日常好搭風,簡約,舒適
外面像烤箱一樣，來點成熟感,優雅,熱
今天穿短袖會冷爆，自然風文青感,文青,冷
今天冷死了，走甜甜又帥的風格,甜酷,冷
可以穿得自在一點，想要日系可愛感,可愛,舒適
不冷也不熱的感覺最棒，來點個性混可愛,甜酷,舒適
今天穿短袖會冷爆，穿得有女人味一點,優雅,冷
真的熱到不想出門，想要帥氣又甜美一點,甜酷,熱
不冷也不熱的感覺最棒，來點個性混可愛,甜酷,舒適
天氣好舒服，走一個甜酷風,甜酷,舒適
超悶熱，走一個甜酷風,甜酷,熱
今天適合隨便穿，走一個文青路線,文青,舒適
穿太多會熱瘋，穿得俏皮一點,可愛,熱
今天天氣爆炸熱，來點個性混可愛,甜酷,熱
穿太多會熱瘋，想要日系可愛感,可愛,熱
會中暑的那種熱，今天想當卡哇伊少女,可愛,熱
今天天氣爆炸熱，走一個甜美風,可愛,熱
今天穿短袖會冷爆，穿簡單舒服就好,簡約,冷
想穿點輕鬆的，來點極簡風,簡約,舒適
剛剛好的溫度，穿得有女人味一點,優雅,舒適
今天天氣爆炸熱，想低調一點,簡約,熱
外面真的很冷耶，走一個文青路線,文青,冷
風超大，想穿得有文藝氣息,文青,冷
氣溫超低的，來點個性混可愛,甜酷,冷
太陽快把我融化，優雅又不無聊,優雅,熱
會中暑的那種熱，走甜甜又帥的風格,甜酷,熱
今天天氣爆炸熱，走一個甜美風,可愛,熱
穿太多會熱瘋，想要日系可愛感,可愛,熱
可以穿得自在一點，優雅又不無聊,優雅,舒適
真的熱到不想出門，想文青但不太無聊,文青,熱
外面真的很冷耶，走優雅路線,優雅,冷
可以穿得自在一點，想要帥氣又甜美一點,甜酷,舒適
今天冷死了，想穿得可愛一點,可愛,冷
感覺會感冒，想穿得可愛一點,可愛,冷
可以穿得自在一點，穿得俏皮一點,可愛,舒適
風超大，想看起來有點壞又可愛,甜酷,冷
會中暑的那種熱，想低調有質感一點,文青,熱
想穿點輕鬆的，今天想當卡哇伊少女,可愛,舒適
現在天氣很讚，走優雅路線,優雅,舒適
太陽快把我融化，自然風文青感,文青,熱
想穿點輕鬆的，想穿得有文藝氣息,文青,舒適
天氣好舒服，自然風文青感,文青,舒適
剛剛好的溫度，想文青但不太無聊,文青,舒適
氣溫超低的，穿得有女人味一點,優雅,冷
感覺會感冒，來點個性混可愛,甜酷,冷
可以穿得自在一點，走簡約風格,簡約,舒適
外面像烤箱一樣，想要日系可愛感,可愛,熱
今天適合隨便穿，日常好搭風,簡約,舒適
想穿點輕鬆的，想看起來有點壞又可愛,甜酷,舒適
外面像烤箱一樣，想低調有質感一點,文青,熱
今天冷死了，今天想當卡哇伊少女,可愛,冷
我超怕冷，想穿得可愛一點,可愛,冷
我超怕冷，穿得有女人味一點,優雅,冷
今天穿短袖會冷爆，優雅又不無聊,優雅,冷
剛剛好的溫度，想要日系可愛感,可愛,舒適
我超怕冷，來點成熟感,優雅,冷
現在天氣很讚，走一個甜酷風,甜酷,舒適
今天適合隨便穿，想要日系可愛感,可愛,舒適
今天冷死了，想穿得有文藝氣息,文青,冷
可以穿得自在一點，穿簡單舒服就好,簡約,舒適
今天適合隨便穿，想穿得有文藝氣息,文青,舒適
今天穿短袖會冷爆，來點極簡風,簡約,冷
感覺會感冒，穿簡單舒服就好,簡約,冷
這種天氣不穿厚一點會冷死，來點成熟感,優雅,冷
氣溫超低的，來點個性混可愛,甜酷,冷
這種天氣出門最適合，走一個甜美風,可愛,舒適
今天穿短袖會冷爆，走優雅路線,優雅,冷
感覺會感冒，想有氣質又不失時尚,優雅,冷
不冷也不熱的感覺最棒，走甜甜又帥的風格,甜酷,舒適
外面像烤箱一樣，來點個性混可愛,甜酷,熱
會中暑的那種熱，想文青但不太無聊,文青,熱
天氣好舒服，想要帥氣又甜美一點,甜酷,舒適
風超大，想穿得可愛一點,可愛,冷
天氣好舒服，走甜甜又帥的風格,甜酷,舒適
今天穿短袖會冷爆，來點成熟感,優雅,冷
天氣好舒服，來點成熟感,優雅,舒適
穿太多會熱瘋，想穿得可愛一點,可愛,熱
今天天氣爆炸熱，來點成熟感,優雅,熱
太陽快把我融化，穿得俏皮一點,可愛,熱
今天適合隨便穿，想低調有質感一點,文青,舒適
真的熱到不想出門，想有氣質又不失時尚,優雅,熱
不冷也不熱的感覺最棒，穿簡單舒服就好,簡約,舒適
想穿點輕鬆的，穿得俏皮一點,可愛,舒適
風超大，來點極簡風,簡約,冷
風超大，想有氣質又不失時尚,優雅,冷
天氣好舒服，想有氣質又不失時尚,優雅,舒適
天氣好舒服，穿簡單舒服就好,簡約,舒適
風超大，想低調有質感一點,文青,冷
天氣好舒服，來點個性混可愛,甜酷,舒適
感覺會感冒，來點個性混可愛,甜酷,冷
今天天氣爆炸熱，來點極簡風,簡約,熱
太陽快把我融化，想要帥氣又甜美一點,甜酷,熱
可以穿得自在一點，想低調有質感一點,文青,舒適
風超大，走一個甜酷風,甜酷,冷
外面像烤箱一樣，來點成熟感,優雅,熱
不冷也不熱的感覺最棒，優雅又不無聊,優雅,舒適
可以穿得自在一點，今天想當卡哇伊少女,可愛,舒適
會中暑的那種熱，走簡約風格,簡約,熱
流汗流整天，走一個甜美風,可愛,熱
今天天氣爆炸熱，穿得有女人味一點,優雅,熱
今天適合隨便穿，想有氣質又不失時尚,優雅,舒適
這種天氣不穿厚一點會冷死，來點成熟感,優雅,冷
剛剛好的溫度，今天想當卡哇伊少女,可愛,舒適
今天冷死了，想穿得有文藝氣息,文青,冷
今天冷死了，想低調有質感一點,文青,冷
不冷也不熱的感覺最棒，走一個甜酷風,甜酷,舒適
今天天氣爆炸熱，想要帥氣又甜美一點,甜酷,熱
穿太多會熱瘋，穿得俏皮一點,可愛,熱
我超怕冷，走一個甜美風,可愛,冷
現在天氣很讚，想文青但不太無聊,文青,舒適
氣溫超低的，來點個性混可愛,甜酷,冷
流汗流整天，走甜甜又帥的風格,甜酷,熱
這種天氣不穿厚一點會冷死，走一個甜酷風,甜酷,冷
今天冷死了，想穿得可愛一點,可愛,冷
可以穿得自在一點，走甜甜又帥的風格,甜酷,舒適
現在天氣很讚，日常好搭風,簡約,舒適
不冷也不熱的感覺最棒，想穿得有文藝氣息,文青,舒適
氣溫超低的，今天想當卡哇伊少女,可愛,冷
想穿點輕鬆的，今天想當卡哇伊少女,可愛,舒適
會中暑的那種熱，來點成熟感,優雅,熱
現在天氣很讚，想有氣質又不失時尚,優雅,舒適
剛剛好的溫度，來點成熟感,優雅,舒適
